customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,closeddate,firstduedate,firstrepaiddate
8a2a81a74ce8c05d014cfb32a0da1049,301682320,2,2016-08-15 18:22:40,2016-08-15 17:22:32,10000.0,13000.0,30,2016-09-01 16:06:48,2016-09-14,2016-09-01
8a8588f35438fe12015444567666018e,301861541,5,2017-04-09 18:25:55,2017-04-09 17:25:42,10000.0,11500.0,15,2017-04-24 01:35:52,2017-04-24,2017-04-24
8a85890754145ace015429211b513e16,301941754,2,2017-06-17 09:29:57,2017-06-17 08:29:50,10000.0,11500.0,15,2017-07-14 21:18:43,2017-07-03,2017-07-14
8a858970548359cc0154883481981866,301832407,5,2017-03-06 13:25:17,2017-03-06 12:25:10,20000.0,23800.0,30,2017-04-04 15:46:56,2017-04-05,2017-04-04
8a8589f35451855401546b0738c42524,301912443,6,2017-05-18 09:42:18,2017-05-18 08:41:12,20000.0,24500.0,30,2017-06-19 10:10:35,2017-06-19,2017-06-19
8a858e095c59b91b015c5e5cea3719bc,301936857,2,2017-06-13 08:26:31,2017-06-13 07:26:24,10000.0,13000.0,30,2017-07-10 13:32:03,2017-07-13,2017-07-10
8a858e1158dc4d830158f7bde4f47ea7,301811291,3,2017-02-06 18:55:30,2017-02-06 17:55:20,10000.0,11500.0,15,2017-02-21 05:34:20,2017-02-21,2017-02-21
8a858e185b4923b4015b4ae48d28646a,301905582,1,2017-05-13 21:44:21,2017-05-13 20:31:27,10000.0,11500.0,15,2017-06-08 17:45:27,2017-05-30,2017-06-08
8a858e345bd96da8015be6b9f8bc10c7,301916835,2,2017-05-24 04:12:36,2017-05-24 03:12:30,10000.0,13000.0,30,2017-06-30 08:45:49,2017-06-23,2017-06-30
8a858e4456ced8470156dc8f1f4038d3,301817710,5,2017-02-15 14:30:34,2017-02-15 13:30:28,20000.0,21900.0,15,2017-02-25 11:47:04,2017-03-02,2017-02-25
8a858e5357d823010157d932443d28a3,301769628,3,2016-12-05 17:04:53,2016-12-05 16:04:43,10000.0,11500.0,15,2016-12-20 00:58:00,2016-12-20,2016-12-20
8a858e645755e62201576b58e3522081,301893833,2,2017-05-07 13:31:41,2017-05-07 12:31:34,10000.0,13000.0,30,2017-06-12 19:20:35,2017-06-06,2017-06-12
8a858e705668e16701567f1523211e5a,301760203,7,2016-11-16 15:47:24,2016-11-16 14:47:06,30000.0,34400.0,30,2016-12-14 15:10:34,2016-12-16,2016-12-14
8a858e7d595026f8015951c0c4a03fae,301821269,4,2017-02-18 19:35:26,2017-02-18 18:35:19,20000.0,21900.0,15,2017-03-02 18:25:45,2017-03-06,2017-03-02
8a858e9b5a195041015a1a602a51519d,301841389,2,2017-03-18 23:52:27,2017-03-18 22:52:21,10000.0,11500.0,15,2017-04-03 15:12:38,2017-04-03,2017-04-03
8a858eb05d2d1297015d313b03581809,301990473,1,2017-07-22 09:53:00,2017-07-22 08:52:42,10000.0,13000.0,30,2017-07-27 16:08:28,2017-08-22,2017-07-27
8a858ec75bfd77c4015c0d841520351c,301924078,2,2017-06-01 15:33:35,2017-06-01 14:33:28,10000.0,11500.0,15,2017-06-16 16:26:12,2017-06-16,2017-06-16
8a858edb5ad79cc6015ad7c9b29415c8,301930222,4,2017-06-07 15:44:21,2017-06-07 14:44:14,20000.0,24500.0,30,2017-06-28 20:28:31,2017-07-07,2017-06-28
8a858ee55830c4b90158337542ab18a1,301796623,3,2017-01-19 10:52:42,2017-01-19 09:52:35,10000.0,13000.0,30,2017-03-25 02:35:37,2017-02-20,2017-03-25
8a858eec5ca21dcb015ca2493dee1e2d,301940917,1,2017-06-16 12:56:33,2017-06-16 11:55:25,10000.0,13000.0,30,2017-06-23 11:16:26,2017-07-17,2017-06-23
8a858ef75997d0180159a695b01e2c4c,301915330,3,2017-05-22 11:50:23,2017-05-22 10:50:17,10000.0,13000.0,30,2017-06-21 04:44:47,2017-06-21,2017-06-21
8a858f03582604ff0158260fcc730548,301920437,8,2017-05-28 17:53:17,2017-05-28 16:53:05,20000.0,24500.0,30,2017-06-28 12:32:43,2017-06-28,2017-06-28
8a858f085b905684015b906e73a01478,301916890,2,2017-05-24 07:18:26,2017-05-24 06:18:19,10000.0,13000.0,30,2017-06-23 05:01:54,2017-06-23,2017-06-23
8a858f2656e154de0156e3a87cdc45fb,301918988,3,2017-05-26 16:02:29,2017-05-26 15:02:21,20000.0,24500.0,30,2017-06-20 12:46:40,2017-06-26,2017-06-20
8a858f3d5add42e2015ae0ca6cb66b83,301954121,7,2017-06-28 05:14:32,2017-06-28 04:14:26,30000.0,34500.0,30,2017-07-26 15:32:00,2017-07-28,2017-07-26
8a858f4655ca643c0155cbc4e13945cc,301737932,5,2016-10-06 09:40:22,2016-10-06 08:40:11,30000.0,34500.0,30,2016-11-08 11:57:53,2016-11-07,2016-11-08
8a858f555cc65d60015cc72de106320c,301945632,1,2017-06-20 21:40:20,2017-06-20 20:39:12,10000.0,11500.0,15,2017-07-03 21:59:19,2017-07-06,2017-07-03
8a858f60560bc43d01561d94abd91c48,301936690,2,2017-06-12 23:43:15,2017-06-12 22:42:07,10000.0,13000.0,30,2017-06-26 23:18:18,2017-07-12,2017-06-26
8a858f6e5aa3c922015aa3d9cba10a74,301939402,4,2017-06-15 09:09:49,2017-06-15 08:08:43,20000.0,22250.0,15,2017-07-04 21:36:18,2017-07-03,2017-07-04
8a858f7e564ad338015654d3a5c242a5,301919279,6,2017-05-27 00:53:03,2017-05-26 23:52:57,20000.0,24500.0,30,2017-06-06 09:26:13,2017-06-26,2017-06-06
